budget,production_companies,release_quarter,revenue,runtime,vote_average,vote_count
18000000,0,3,266586800,93,4.6,218
17000000,1,3,136621271,104,6.4,1219
17000000,1,4,71625195,123,6.7,110
17000000,0,3,115350426,112,7.3,2247
17000000,0,2,97542952,91,6.4,1723
16000000,0,2,68263166,94,7.6,1662
20000000,0,1,24261569,101,6.5,956
14000000,0,4,233555708,113,8,5723
15000000,1,1,146497771,100,6,1401
15000000,1,4,151831537,92,6,680
17000000,0,1,127730736,95,6.1,1206
35000000,0,1,42930462,112,5.8,1138
15000000,1,4,61548707,98,5.9,584
7000000,0,3,48126384,109,7.2,1170
15000000,0,4,123726688,123,7.8,3311
15000000,0,4,52501541,115,7,951
15000000,0,3,30127963,115,6.3,130
15000000,0,2,20566327,94,6,421
15000000,0,1,35485608,140,6.8,1653
15000000,0,3,32556119,108,6,639
15000000,0,3,37930465,97,5.8,742
15000000,0,3,31554855,121,6.5,541
15000000,0,4,15608545,96,5.2,358
14800000,1,3,122513057,115,6.3,706
14000000,1,1,12314651,93,5,354
15000000,0,3,19422261,110,6.7,1206
16000000,0,1,77000000,117,6.7,186
13000000,0,4,54837234,102,7.1,763
12500000,0,1,49002684,100,6,210
15000000,0,1,36869414,108,7.6,4737
6000000,0,4,35401758,117,8.1,2757
13000000,0,1,48065672,93,5.7,737
13000000,0,1,18000000,107,5.4,304
13000000,1,3,33400000,102,7.7,2968
13000000,0,1,68572378,94,6.6,1257
12000000,0,2,96070507,122,6.9,281
12000000,0,1,81272766,110,6.3,417
12000000,0,2,307166834,125,7.6,3759
12000000,0,4,100129872,98,7.4,579
12000000,0,2,85512300,109,6.1,1937
12000000,1,3,17654912,115,7.4,636
12000000,1,3,35485056,100,6.1,294
12000000,1,1,32248241,106,6.4,933
12000000,0,1,12077441,99,6.5,882
12000000,0,2,101332962,99,6,229
11500000,1,1,94073028,102,5.7,1406
11000000,0,3,78874843,106,7.3,1368
11000000,0,4,62076141,111,7.2,1213
11000000,0,3,59520298,98,6.3,139
11000000,0,2,61619773,120,7.3,440
11000000,0,4,32935319,105,7.2,834
10000000,1,2,118587880,105,6.1,1306
10000000,0,1,64188367,97,5.8,1102
10000000,0,2,104303851,97,6.2,983
65000000,1,3,143695338,102,6.2,679
10000000,0,3,52882018,97,5.4,581
10000000,0,1,85978266,122,6.3,272
10000000,0,2,21587700,130,7,1068
5000000,0,3,58978653,108,6.7,1049
10000000,0,4,28883511,105,6.8,1196
6000000,0,1,32438988,90,4.4,797
9000000,0,3,21571189,121,6.5,115
10000000,0,1,10835752,107,6.6,183
10000000,0,1,40055439,95,4.8,448
8900000,0,3,19839492,127,7.5,400
9000000,1,3,108782847,104,6.6,1954
6000000,0,2,14348529,98,5.8,214
8500000,0,1,43528634,100,6.8,1322
8500000,0,4,38697217,117,7.6,3395
8000000,0,1,26049082,94,6.1,1004
8000000,0,3,63464861,104,7.3,1254
7000000,0,2,167221571,110,6.1,1040
7000000,0,3,14618727,116,7,139
6900000,0,3,44287131,101,5.6,555
6500000,0,4,255273813,99,5.6,1517
6000000,0,3,13231461,96,6.4,379
15000000,1,1,108286421,103,6.8,2468
5500000,0,3,99067206,115,7.5,205
5000000,1,4,142817992,95,5.2,563
5000000,1,3,55198285,117,7.9,2886
5000000,0,3,44030246,104,6.3,1050
5000000,0,1,24804129,134,7.1,478
5000000,1,3,40100000,93,6.1,766
5000000,0,4,43884652,99,7.5,1104
5000000,0,1,31724284,94,5,1551
5000000,0,3,54418872,103,6.7,777
20000000,0,1,21164799,92,4.3,331
5000000,0,3,98450062,94,6,1360
5000000,0,1,10429707,98,5.5,121
6000000,0,3,11122090,96,6.3,658
8500000,0,3,15861566,120,6.5,178
